70  	dumb-all                      	0.1.0
8   	stream-cipher                 	0.3.2	git+https://github.com/mesalock-linux/rustcrypto-traits-sgx#71e214d9b8d6fe41f1f549374b5ba561d60b82a3
238 	rand_core                     	0.5.1	registry+https://github.com/rust-lang/crates.io-index
169 	sha1                          	0.6.0	git+https://github.com/mesalock-linux/rust-sha1-sgx#0bdc4079e03ddfe437400be3c2522f98b0583b74
198 	wabt                          	0.9.2	git+https://github.com/mesalock-linux/wabt-rs-sgx?branch=v0.9-core#6d5a760c8735f78e62bcb2fe1a4216dac11c8ec6
199 	wasmi                         	0.6.2	git+https://github.com/mesalock-linux/wasmi-sgx#3116f75a83bf610fbc054f65862a8ab44b41adde
231 	memory_units                  	0.3.0	registry+https://github.com/rust-lang/crates.io-index
133 	num-rational                  	0.2.2	git+https://github.com/mesalock-linux/num-rational-sgx#8fc4b843750e41e15dfcbfb1153f9e6ef912494c
189 	typetag                       	0.1.4	git+https://github.com/mesalock-linux/typetag-sgx#5119d9616bb20edf4d52a6b3d8aebc004cdffa0e
74  	erased-serde                  	0.3.10	git+https://github.com/mesalock-linux/erased-serde-sgx#101ebeedf7f230609e509ce936af3a94518bded1
23  	serde                         	1.0.105	git+https://github.com/mesalock-linux/serde-sgx#ef8226dfcaf5b704cd7db8ac6969dfd02b177572
166 	serde_derive                  	1.0.105	git+https://github.com/mesalock-linux/serde-sgx#ef8226dfcaf5b704cd7db8ac6969dfd02b177572
103 	inventory                     	0.1.5	git+https://github.com/mesalock-linux/inventory-sgx#33b712ccd94f8b8f6e996b1e3d5c0ff430a74bde
61  	ctor                          	0.1.13	registry+https://github.com/rust-lang/crates.io-index
216 	ghost                         	0.1.1	registry+https://github.com/rust-lang/crates.io-index
221 	inventory-impl                	0.1.5	git+https://github.com/mesalock-linux/inventory-sgx#33b712ccd94f8b8f6e996b1e3d5c0ff430a74bde
207 	lazy_static                   	1.4.0	registry+https://github.com/rust-lang/crates.io-index
225 	spin                          	0.5.2	registry+https://github.com/rust-lang/crates.io-index
264 	typetag-impl                  	0.1.4	git+https://github.com/mesalock-linux/typetag-sgx#5119d9616bb20edf4d52a6b3d8aebc004cdffa0e
63  	syn                           	1.0.17	registry+https://github.com/rust-lang/crates.io-index
62  	quote                         	1.0.3	registry+https://github.com/rust-lang/crates.io-index
210 	proc-macro2                   	1.0.9	registry+https://github.com/rust-lang/crates.io-index
236 	unicode-xid                   	0.2.0	registry+https://github.com/rust-lang/crates.io-index
266 	wasmi-validation              	0.3.0	git+https://github.com/mesalock-linux/wasmi-sgx#3116f75a83bf610fbc054f65862a8ab44b41adde
137 	parity-wasm                   	0.41.0	git+https://github.com/mesalock-linux/parity-wasm-sgx#458e30dbee0cb869c61ff22ee703a6df6e80492d
202 	whirlpool                     	0.8.1	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
30  	block-buffer                  	0.7.3	git+https://github.com/mesalock-linux/rustcrypto-utils-sgx#448345c12a20036a2589e524606165592f4a4171
37  	block-padding                 	0.1.4	git+https://github.com/mesalock-linux/rustcrypto-utils-sgx#448345c12a20036a2589e524606165592f4a4171
34  	byte-tools                    	0.3.1	git+https://github.com/mesalock-linux/rustcrypto-utils-sgx#448345c12a20036a2589e524606165592f4a4171
31  	digest                        	0.8.1	git+https://github.com/mesalock-linux/rustcrypto-traits-sgx#71e214d9b8d6fe41f1f549374b5ba561d60b82a3
36  	blobby                        	0.1.2	git+https://github.com/mesalock-linux/rustcrypto-utils-sgx#448345c12a20036a2589e524606165592f4a4171
10  	byteorder                     	1.3.2	git+https://github.com/mesalock-linux/byteorder-sgx#d8fd3a1feea0b2d14295d163dbe6e47c8cfe8e83
3   	generic-array                 	0.12.3	registry+https://github.com/rust-lang/crates.io-index
214 	typenum                       	1.11.2	registry+https://github.com/rust-lang/crates.io-index
11  	opaque-debug                  	0.2.3	registry+https://github.com/rust-lang/crates.io-index
203 	yasna                         	0.3.1	git+https://github.com/mesalock-linux/yasna.rs-sgx#582b016f9747ce5b0511185975a689567941af45
24  	bit-vec                       	0.6.1	registry+https://github.com/rust-lang/crates.io-index
51  	chrono                        	0.4.10	git+https://github.com/mesalock-linux/chrono-sgx#ff2a0ba8f00b4978e9c486790a792efc848feb18
232 	num-bigint                    	0.2.5	git+https://github.com/mesalock-linux/num-bigint-sgx#cbc638aa30cbc6268d28b9eef4027cea25ab5b4b
20  	autocfg                       	1.0.0	registry+https://github.com/rust-lang/crates.io-index
52  	num-integer                   	0.1.41	git+https://github.com/mesalock-linux/num-integer-sgx#2b4d3afc0a2de15ec0e10e4748d73deb0f025582
53  	num-traits                    	0.2.10	git+https://github.com/mesalock-linux/num-traits-sgx#effd92d492c3938212b09d815550ef4e9ca7226a
19  	autocfg                       	0.1.7	registry+https://github.com/rust-lang/crates.io-index
1   	sgx_tstd                      	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
258 	hashbrown                     	0.7.1	registry+https://github.com/rust-lang/crates.io-index
249 	sgx_alloc                     	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
250 	sgx_backtrace_sys             	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
44  	cc                            	1.0.50	registry+https://github.com/rust-lang/crates.io-index
251 	sgx_demangle                  	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
257 	sgx_tprotected_fs             	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
215 	sgx_trts                      	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
205 	sgx_libc                      	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
230 	sgx_types                     	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
253 	sgx_unwind                    	0.1.0	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
254 	sgx_build_helper              	0.1.3	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
48  	cfg-if                        	0.1.10	registry+https://github.com/rust-lang/crates.io-index
